Date,Centre_5me,Commodity_5me,Price
25-11-1997,AGARTALA,Potato,4.5
26-11-1997,AGARTALA,Potato,4.5
27-11-1997,AGARTALA,Potato,4.5
28-11-1997,AGARTALA,Potato,4.5
1/12/1997,AGARTALA,Potato,4.5
2/12/1997,AGARTALA,Potato,4.5
3/12/1997,AGARTALA,Potato,4.5
4/12/1997,AGARTALA,Potato,4.5
5/12/1997,AGARTALA,Potato,4.5
8/12/1997,AGARTALA,Potato,4.5
9/12/1997,AGARTALA,Potato,4.5
10/12/1997,AGARTALA,Potato,4.5
11/12/1997,AGARTALA,Potato,4.5
12/12/1997,AGARTALA,Potato,4.5
15-12-1997,AGARTALA,Potato,4.5
16-12-1997,AGARTALA,Potato,4.5
17-12-1997,AGARTALA,Potato,4.5
18-12-1997,AGARTALA,Potato,4.5
19-12-1997,AGARTALA,Potato,4.5
22-12-1997,AGARTALA,Potato,4.5
23-12-1997,AGARTALA,Potato,4.5
24-12-1997,AGARTALA,Potato,4.5
26-12-1997,AGARTALA,Potato,4.5
29-12-1997,AGARTALA,Potato,3
30-12-1997,AGARTALA,Potato,3
31-12-1997,AGARTALA,Potato,4.5
1/1/1998,AGARTALA,Potato,4.5
2/1/1998,AGARTALA,Potato,4.5
5/1/1998,AGARTALA,Potato,4.5
6/1/1998,AGARTALA,Potato,4.5
7/1/1998,AGARTALA,Potato,4.5
8/1/1998,AGARTALA,Potato,4.5
9/1/1998,AGARTALA,Potato,4.5
12/1/1998,AGARTALA,Potato,3
13-01-1998,AGARTALA,Potato,3
14-01-1998,AGARTALA,Potato,3
15-01-1998,AGARTALA,Potato,3
16-01-1998,AGARTALA,Potato,3
19-01-1998,AGARTALA,Potato,3.5
20-01-1998,AGARTALA,Potato,3.5
21-01-1998,AGARTALA,Potato,3.5
22-01-1998,AGARTALA,Potato,3.5
23-01-1998,AGARTALA,Potato,3.5
27-01-1998,AGARTALA,Potato,3.5
28-01-1998,AGARTALA,Potato,3.5
29-01-1998,AGARTALA,Potato,3.5
2/2/1998,AGARTALA,Potato,3.5
3/2/1998,AGARTALA,Potato,3.5
4/2/1998,AGARTALA,Potato,3.5
5/2/1998,AGARTALA,Potato,3.5
6/2/1998,AGARTALA,Potato,4
9/2/1998,AGARTALA,Potato,4
10/2/1998,AGARTALA,Potato,4
11/2/1998,AGARTALA,Potato,4
12/2/1998,AGARTALA,Potato,4
13-02-1998,AGARTALA,Potato,4
17-02-1998,AGARTALA,Potato,4
18-02-1998,AGARTALA,Potato,4
19-02-1998,AGARTALA,Potato,4
20-02-1998,AGARTALA,Potato,4
23-02-1998,AGARTALA,Potato,4
24-02-1998,AGARTALA,Potato,4
26-02-1998,AGARTALA,Potato,4
27-02-1998,AGARTALA,Potato,4
2/3/1998,AGARTALA,Potato,4
3/3/1998,AGARTALA,Potato,4
4/3/1998,AGARTALA,Potato,4
5/3/1998,AGARTALA,Potato,4
6/3/1998,AGARTALA,Potato,4
9/3/1998,AGARTALA,Potato,4
10/3/1998,AGARTALA,Potato,4
11/3/1998,AGARTALA,Potato,4
12/3/1998,AGARTALA,Potato,3.5
16-03-1998,AGARTALA,Potato,4
17-03-1998,AGARTALA,Potato,4.5
18-03-1998,AGARTALA,Potato,3
19-03-1998,AGARTALA,Potato,3
20-03-1998,AGARTALA,Potato,3
23-03-1998,AGARTALA,Potato,3
24-03-1998,AGARTALA,Potato,3
25-03-1998,AGARTALA,Potato,3
26-03-1998,AGARTALA,Potato,3
27-03-1998,AGARTALA,Potato,4
30-03-1998,AGARTALA,Potato,3
31-03-1998,AGARTALA,Potato,3
1/4/1998,AGARTALA,Potato,3
2/4/1998,AGARTALA,Potato,4.5
3/4/1998,AGARTALA,Potato,4.5
6/4/1998,AGARTALA,Potato,4.5
7/4/1998,AGARTALA,Potato,4.5
13-04-1998,AGARTALA,Potato,4.5
15-04-1998,AGARTALA,Potato,4.5
16-04-1998,AGARTALA,Potato,4.5
17-04-1998,AGARTALA,Potato,4.5
20-04-1998,AGARTALA,Potato,4.5
21-04-1998,AGARTALA,Potato,4.5
22-04-1998,AGARTALA,Potato,4.5
23-04-1998,AGARTALA,Potato,4.5
24-04-1998,AGARTALA,Potato,4.5
27-04-1998,AGARTALA,Potato,4.5
28-04-1998,AGARTALA,Potato,4.5
29-04-1998,AGARTALA,Potato,4.5
30-04-1998,AGARTALA,Potato,4.5
1/5/1998,AGARTALA,Potato,4.5
4/5/1998,AGARTALA,Potato,4.5
5/5/1998,AGARTALA,Potato,4.5
6/5/1998,AGARTALA,Potato,4.5
8/5/1998,AGARTALA,Potato,5
12/5/1998,AGARTALA,Potato,5
13-05-1998,AGARTALA,Potato,5
14-05-1998,AGARTALA,Potato,5
15-05-1998,AGARTALA,Potato,5
18-05-1998,AGARTALA,Potato,5
19-05-1998,AGARTALA,Potato,5
20-05-1998,AGARTALA,Potato,5
21-05-1998,AGARTALA,Potato,5
22-05-1998,AGARTALA,Potato,5
25-05-1998,AGARTALA,Potato,5
26-05-1998,AGARTALA,Potato,5
27-05-1998,AGARTALA,Potato,5
28-05-1998,AGARTALA,Potato,5
29-05-1998,AGARTALA,Potato,5
1/6/1998,AGARTALA,Potato,5
2/6/1998,AGARTALA,Potato,5
3/6/1998,AGARTALA,Potato,5
4/6/1998,AGARTALA,Potato,5
5/6/1998,AGARTALA,Potato,5
8/6/1998,AGARTALA,Potato,5
9/6/1998,AGARTALA,Potato,5
10/6/1998,AGARTALA,Potato,5
11/6/1998,AGARTALA,Potato,5
12/6/1998,AGARTALA,Potato,5
15-06-1998,AGARTALA,Potato,5
16-06-1998,AGARTALA,Potato,5
17-06-1998,AGARTALA,Potato,5
18-06-1998,AGARTALA,Potato,5
19-06-1998,AGARTALA,Potato,5
22-06-1998,AGARTALA,Potato,5
23-06-1998,AGARTALA,Potato,5
24-06-1998,AGARTALA,Potato,5
25-06-1998,AGARTALA,Potato,5
26-06-1998,AGARTALA,Potato,5
29-06-1998,AGARTALA,Potato,5
30-06-1998,AGARTALA,Potato,5
1/7/1998,AGARTALA,Potato,5
2/7/1998,AGARTALA,Potato,5
3/7/1998,AGARTALA,Potato,5
6/7/1998,AGARTALA,Potato,5
7/7/1998,AGARTALA,Potato,5
9/7/1998,AGARTALA,Potato,5
10/7/1998,AGARTALA,Potato,5
13-07-1998,AGARTALA,Potato,5
14-07-1998,AGARTALA,Potato,5
15-07-1998,AGARTALA,Potato,5
16-07-1998,AGARTALA,Potato,5
17-07-1998,AGARTALA,Potato,5
20-07-1998,AGARTALA,Potato,5
21-07-1998,AGARTALA,Potato,5
22-07-1998,AGARTALA,Potato,5
23-07-1998,AGARTALA,Potato,5
24-07-1998,AGARTALA,Potato,5
27-07-1998,AGARTALA,Potato,5
28-07-1998,AGARTALA,Potato,5
29-07-1998,AGARTALA,Potato,5
30-07-1998,AGARTALA,Potato,5
31-07-1998,AGARTALA,Potato,5
3/8/1998,AGARTALA,Potato,5
4/8/1998,AGARTALA,Potato,5
5/8/1998,AGARTALA,Potato,5
6/8/1998,AGARTALA,Potato,5
7/8/1998,AGARTALA,Potato,5
10/8/1998,AGARTALA,Potato,5
11/8/1998,AGARTALA,Potato,5
12/8/1998,AGARTALA,Potato,5
13-08-1998,AGARTALA,Potato,5
14-08-1998,AGARTALA,Potato,5
17-08-1998,AGARTALA,Potato,5
18-08-1998,AGARTALA,Potato,5
19-08-1998,AGARTALA,Potato,5
20-08-1998,AGARTALA,Potato,5
21-08-1998,AGARTALA,Potato,5
24-08-1998,AGARTALA,Potato,5
25-08-1998,AGARTALA,Potato,5
26-08-1998,AGARTALA,Potato,5
27-08-1998,AGARTALA,Potato,5
28-08-1998,AGARTALA,Potato,5
31-08-1998,AGARTALA,Potato,5
1/9/1998,AGARTALA,Potato,5
2/9/1998,AGARTALA,Potato,5
3/9/1998,AGARTALA,Potato,5
4/9/1998,AGARTALA,Potato,5
7/9/1998,AGARTALA,Potato,5
8/9/1998,AGARTALA,Potato,5
9/9/1998,AGARTALA,Potato,5
10/9/1998,AGARTALA,Potato,5
11/9/1998,AGARTALA,Potato,5
14-09-1998,AGARTALA,Potato,5
15-09-1998,AGARTALA,Potato,5
16-09-1998,AGARTALA,Potato,5
17-09-1998,AGARTALA,Potato,5
18-09-1998,AGARTALA,Potato,5
21-09-1998,AGARTALA,Potato,5
22-09-1998,AGARTALA,Potato,5
23-09-1998,AGARTALA,Potato,5
24-09-1998,AGARTALA,Potato,5
25-09-1998,AGARTALA,Potato,5
28-09-1998,AGARTALA,Potato,5
30-09-1998,AGARTALA,Potato,5
5/10/1998,AGARTALA,Potato,5
6/10/1998,AGARTALA,Potato,5
7/10/1998,AGARTALA,Potato,5
8/10/1998,AGARTALA,Potato,5
9/10/1998,AGARTALA,Potato,5
12/10/1998,AGARTALA,Potato,5
13-10-1998,AGARTALA,Potato,5
14-10-1998,AGARTALA,Potato,5
15-10-1998,AGARTALA,Potato,5
16-10-1998,AGARTALA,Potato,5
20-10-1998,AGARTALA,Potato,5
21-10-1998,AGARTALA,Potato,4
22-10-1998,AGARTALA,Potato,4.5
23-10-1998,AGARTALA,Potato,4.5
26-10-1998,AGARTALA,Potato,4.5
27-10-1998,AGARTALA,Potato,4.5
28-10-1998,AGARTALA,Potato,4.5
29-10-1998,AGARTALA,Potato,4.5
30-10-1998,AGARTALA,Potato,4.5
2/11/1998,AGARTALA,Potato,4.5
3/11/1998,AGARTALA,Potato,4.5
5/11/1998,AGARTALA,Potato,4.5
6/11/1998,AGARTALA,Potato,4.5
9/11/1998,AGARTALA,Potato,4.5
10/11/1998,AGARTALA,Potato,4.5
11/11/1998,AGARTALA,Potato,4.5
12/11/1998,AGARTALA,Potato,4.5
13-11-1998,AGARTALA,Potato,4.5
16-11-1998,AGARTALA,Potato,4.5
17-11-1998,AGARTALA,Potato,4.5
18-11-1998,AGARTALA,Potato,4.5
19-11-1998,AGARTALA,Potato,4.5
20-11-1998,AGARTALA,Potato,4.5
23-11-1998,AGARTALA,Potato,4.5
24-11-1998,AGARTALA,Potato,4.5
26-11-1998,AGARTALA,Potato,4.5
27-11-1998,AGARTALA,Potato,4.5
30-11-1998,AGARTALA,Potato,4.5
1/12/1998,AGARTALA,Potato,4.5
2/12/1998,AGARTALA,Potato,4.5
3/12/1998,AGARTALA,Potato,4.5
4/12/1998,AGARTALA,Potato,4.5
7/12/1998,AGARTALA,Potato,4.5
8/12/1998,AGARTALA,Potato,4.5
9/12/1998,AGARTALA,Potato,4.5
10/12/1998,AGARTALA,Potato,4.5
11/12/1998,AGARTALA,Potato,4.5
14-12-1998,AGARTALA,Potato,4.5
15-12-1998,AGARTALA,Potato,4.5
16-12-1998,AGARTALA,Potato,4.5
17-12-1998,AGARTALA,Potato,4.5
18-12-1998,AGARTALA,Potato,4.5
21-12-1998,AGARTALA,Potato,4.5
22-12-1998,AGARTALA,Potato,4.5
23-12-1998,AGARTALA,Potato,4.5
24-12-1998,AGARTALA,Potato,4.5
28-12-1998,AGARTALA,Potato,4.5
29-12-1998,AGARTALA,Potato,4.5
30-12-1998,AGARTALA,Potato,4.5
31-12-1998,AGARTALA,Potato,4.5
1/1/1999,AGARTALA,Potato,4.5
4/1/1999,AGARTALA,Potato,4.5
5/1/1999,AGARTALA,Potato,4.5
6/1/1999,AGARTALA,Potato,4.5
7/1/1999,AGARTALA,Potato,4.5
8/1/1999,AGARTALA,Potato,4.5
11/1/1999,AGARTALA,Potato,4.5
12/1/1999,AGARTALA,Potato,4.5
13-01-1999,AGARTALA,Potato,4.5
14-01-1999,AGARTALA,Potato,4.5
15-01-1999,AGARTALA,Potato,4.5
18-01-1999,AGARTALA,Potato,4.5
20-01-1999,AGARTALA,Potato,3
21-01-1999,AGARTALA,Potato,3
22-01-1999,AGARTALA,Potato,3
27-01-1999,AGARTALA,Potato,3
28-01-1999,AGARTALA,Potato,3
29-01-1999,AGARTALA,Potato,3
1/2/1999,AGARTALA,Potato,3
2/2/1999,AGARTALA,Potato,3
3/2/1999,AGARTALA,Potato,3
4/2/1999,AGARTALA,Potato,3
5/2/1999,AGARTALA,Potato,3
8/2/1999,AGARTALA,Potato,3
9/2/1999,AGARTALA,Potato,3
10/2/1999,AGARTALA,Potato,3
11/2/1999,AGARTALA,Potato,3
12/2/1999,AGARTALA,Potato,3
15-02-1999,AGARTALA,Potato,3
16-02-1999,AGARTALA,Potato,3
17-02-1999,AGARTALA,Potato,3
18-02-1999,AGARTALA,Potato,3
19-02-1999,AGARTALA,Potato,3
22-02-1999,AGARTALA,Potato,3
23-02-1999,AGARTALA,Potato,3
24-02-1999,AGARTALA,Potato,3
25-02-1999,AGARTALA,Potato,3
26-02-1999,AGARTALA,Potato,3
1/3/1999,AGARTALA,Potato,3
3/3/1999,AGARTALA,Potato,3
4/3/1999,AGARTALA,Potato,3
5/3/1999,AGARTALA,Potato,2.5
8/3/1999,AGARTALA,Potato,2.5
9/3/1999,AGARTALA,Potato,2.5
10/3/1999,AGARTALA,Potato,2.5
11/3/1999,AGARTALA,Potato,2.5
12/3/1999,AGARTALA,Potato,2.5
15-03-1999,AGARTALA,Potato,2.5
16-03-1999,AGARTALA,Potato,2.5
17-03-1999,AGARTALA,Potato,2.5
18-03-1999,AGARTALA,Potato,2.5
19-03-1999,AGARTALA,Potato,2.5
22-03-1999,AGARTALA,Potato,2.5
23-03-1999,AGARTALA,Potato,2.5
24-03-1999,AGARTALA,Potato,2.5
26-03-1999,AGARTALA,Potato,2.5
30-03-1999,AGARTALA,Potato,2.5
31-03-1999,AGARTALA,Potato,2.5
1/4/1999,AGARTALA,Potato,2.5
5/4/1999,AGARTALA,Potato,2.5
6/4/1999,AGARTALA,Potato,2.5
7/4/1999,AGARTALA,Potato,2.5
8/4/1999,AGARTALA,Potato,2.5
9/4/1999,AGARTALA,Potato,2.5
12/4/1999,AGARTALA,Potato,2.5
13-04-1999,AGARTALA,Potato,2.5
15-04-1999,AGARTALA,Potato,3.5
16-04-1999,AGARTALA,Potato,3.5
19-04-1999,AGARTALA,Potato,3.5
20-04-1999,AGARTALA,Potato,3.5
21-04-1999,AGARTALA,Potato,3.5
22-04-1999,AGARTALA,Potato,3.5
23-04-1999,AGARTALA,Potato,3.5
26-04-1999,AGARTALA,Potato,3.5
28-04-1999,AGARTALA,Potato,3.5
29-04-1999,AGARTALA,Potato,3.5
3/5/1999,AGARTALA,Potato,3.5
4/5/1999,AGARTALA,Potato,3.5
5/5/1999,AGARTALA,Potato,3.5
6/5/1999,AGARTALA,Potato,3.5
7/5/1999,AGARTALA,Potato,3.5
10/5/1999,AGARTALA,Potato,3.5
11/5/1999,AGARTALA,Potato,3.5
12/5/1999,AGARTALA,Potato,3.5
13-05-1999,AGARTALA,Potato,3.5
14-05-1999,AGARTALA,Potato,3.5
17-05-1999,AGARTALA,Potato,3.5
18-05-1999,AGARTALA,Potato,3.5
19-05-1999,AGARTALA,Potato,3.5
20-05-1999,AGARTALA,Potato,3.5
21-05-1999,AGARTALA,Potato,3.5
24-05-1999,AGARTALA,Potato,3.5
25-05-1999,AGARTALA,Potato,3.5
26-05-1999,AGARTALA,Potato,3.5
27-05-1999,AGARTALA,Potato,3.5
28-05-1999,AGARTALA,Potato,3.5
31-05-1999,AGARTALA,Potato,3.5
1/6/1999,AGARTALA,Potato,3.5
2/6/1999,AGARTALA,Potato,3.5
3/6/1999,AGARTALA,Potato,3.5
4/6/1999,AGARTALA,Potato,3.5
7/6/1999,AGARTALA,Potato,3.5
8/6/1999,AGARTALA,Potato,3.5
9/6/1999,AGARTALA,Potato,3.5
10/6/1999,AGARTALA,Potato,3.5
11/6/1999,AGARTALA,Potato,3.5
14-06-1999,AGARTALA,Potato,3.5
15-06-1999,AGARTALA,Potato,3.5
16-06-1999,AGARTALA,Potato,3.5
17-06-1999,AGARTALA,Potato,3.5
18-06-1999,AGARTALA,Potato,3.5
21-06-1999,AGARTALA,Potato,3.5
22-06-1999,AGARTALA,Potato,3.5
23-06-1999,AGARTALA,Potato,3.5
24-06-1999,AGARTALA,Potato,3.5
25-06-1999,AGARTALA,Potato,3.5
28-06-1999,AGARTALA,Potato,3.5
29-06-1999,AGARTALA,Potato,3.5
30-06-1999,AGARTALA,Potato,3.5
1/7/1999,AGARTALA,Potato,3.5
2/7/1999,AGARTALA,Potato,3.5
5/7/1999,AGARTALA,Potato,3.5
6/7/1999,AGARTALA,Potato,3.5
7/7/1999,AGARTALA,Potato,3.5
8/7/1999,AGARTALA,Potato,3.5
9/7/1999,AGARTALA,Potato,3.5
12/7/1999,AGARTALA,Potato,3.5
13-07-1999,AGARTALA,Potato,3.5
14-07-1999,AGARTALA,Potato,3.5
15-07-1999,AGARTALA,Potato,3.5
16-07-1999,AGARTALA,Potato,3.5
19-07-1999,AGARTALA,Potato,3.5
20-07-1999,AGARTALA,Potato,4.5
21-07-1999,AGARTALA,Potato,4.5
22-07-1999,AGARTALA,Potato,4.5
23-07-1999,AGARTALA,Potato,4.5
26-07-1999,AGARTALA,Potato,4.5
27-07-1999,AGARTALA,Potato,4.5
28-07-1999,AGARTALA,Potato,4.5
29-07-1999,AGARTALA,Potato,4.5
30-07-1999,AGARTALA,Potato,4.5
2/8/1999,AGARTALA,Potato,4.5
3/8/1999,AGARTALA,Potato,4.5
4/8/1999,AGARTALA,Potato,4.5
5/8/1999,AGARTALA,Potato,4.5
6/8/1999,AGARTALA,Potato,4.5
9/8/1999,AGARTALA,Potato,4.5
10/8/1999,AGARTALA,Potato,4.5
11/8/1999,AGARTALA,Potato,4.5
12/8/1999,AGARTALA,Potato,4.5
13-08-1999,AGARTALA,Potato,4.5
16-08-1999,AGARTALA,Potato,4.5
17-08-1999,AGARTALA,Potato,4.5
18-08-1999,AGARTALA,Potato,4.5
19-08-1999,AGARTALA,Potato,4.5
20-08-1999,AGARTALA,Potato,4.5
23-08-1999,AGARTALA,Potato,4.5
24-08-1999,AGARTALA,Potato,4.5
25-08-1999,AGARTALA,Potato,4.5
26-08-1999,AGARTALA,Potato,4.5
27-08-1999,AGARTALA,Potato,4.5
30-08-1999,AGARTALA,Potato,4.5
31-08-1999,AGARTALA,Potato,4.5
1/9/1999,AGARTALA,Potato,4.5
2/9/1999,AGARTALA,Potato,4.5
6/9/1999,AGARTALA,Potato,4.5
7/9/1999,AGARTALA,Potato,4.5
8/9/1999,AGARTALA,Potato,4.5
9/9/1999,AGARTALA,Potato,4.5
10/9/1999,AGARTALA,Potato,4.5
13-09-1999,AGARTALA,Potato,4.5
14-09-1999,AGARTALA,Potato,4.5
15-09-1999,AGARTALA,Potato,4.5
16-09-1999,AGARTALA,Potato,4.5
17-09-1999,AGARTALA,Potato,4.5
20-09-1999,AGARTALA,Potato,4.5
21-09-1999,AGARTALA,Potato,4.5
22-09-1999,AGARTALA,Potato,4.5
23-09-1999,AGARTALA,Potato,4.5
24-09-1999,AGARTALA,Potato,4.5
27-09-1999,AGARTALA,Potato,4.5
28-09-1999,AGARTALA,Potato,4.5
29-09-1999,AGARTALA,Potato,4.5
30-09-1999,AGARTALA,Potato,4.5
1/10/1999,AGARTALA,Potato,4.5
4/10/1999,AGARTALA,Potato,4.5
5/10/1999,AGARTALA,Potato,4.5
6/10/1999,AGARTALA,Potato,4.5
7/10/1999,AGARTALA,Potato,4.5
8/10/1999,AGARTALA,Potato,4.5
11/10/1999,AGARTALA,Potato,4.5
12/10/1999,AGARTALA,Potato,4.5
13-10-1999,AGARTALA,Potato,4.5
14-10-1999,AGARTALA,Potato,4.5
15-10-1999,AGARTALA,Potato,4.5
18-10-1999,AGARTALA,Potato,4.5
20-10-1999,AGARTALA,Potato,4.5
21-10-1999,AGARTALA,Potato,4.5
22-10-1999,AGARTALA,Potato,4.5
25-10-1999,AGARTALA,Potato,4.5
26-10-1999,AGARTALA,Potato,4.5
27-10-1999,AGARTALA,Potato,4.5
28-10-1999,AGARTALA,Potato,4.5
29-10-1999,AGARTALA,Potato,4.5
1/11/1999,AGARTALA,Potato,4.5
2/11/1999,AGARTALA,Potato,4.5
3/11/1999,AGARTALA,Potato,4.5
4/11/1999,AGARTALA,Potato,4.5
5/11/1999,AGARTALA,Potato,4.5
8/11/1999,AGARTALA,Potato,4.5
9/11/1999,AGARTALA,Potato,4.5
10/11/1999,AGARTALA,Potato,4.5
11/11/1999,AGARTALA,Potato,4.5
12/11/1999,AGARTALA,Potato,4.5
15-11-1999,AGARTALA,Potato,4.5
16-11-1999,AGARTALA,Potato,4.5
17-11-1999,AGARTALA,Potato,4.5
18-11-1999,AGARTALA,Potato,4.5
19-11-1999,AGARTALA,Potato,4.5
22-11-1999,AGARTALA,Potato,4.5
24-11-1999,AGARTALA,Potato,4.5
25-11-1999,AGARTALA,Potato,4.5
26-11-1999,AGARTALA,Potato,4.5
29-11-1999,AGARTALA,Potato,4.5
30-11-1999,AGARTALA,Potato,4.5
1/12/1999,AGARTALA,Potato,4.5
2/12/1999,AGARTALA,Potato,4.5
3/12/1999,AGARTALA,Potato,4.5
6/12/1999,AGARTALA,Potato,4.5
7/12/1999,AGARTALA,Potato,4.5
8/12/1999,AGARTALA,Potato,4.5
9/12/1999,AGARTALA,Potato,4.5
10/12/1999,AGARTALA,Potato,6
13-12-1999,AGARTALA,Potato,6
14-12-1999,AGARTALA,Potato,6
15-12-1999,AGARTALA,Potato,6
16-12-1999,AGARTALA,Potato,7
17-12-1999,AGARTALA,Potato,7
20-12-1999,AGARTALA,Potato,7
21-12-1999,AGARTALA,Potato,6
22-12-1999,AGARTALA,Potato,8
23-12-1999,AGARTALA,Potato,8
24-12-1999,AGARTALA,Potato,8
27-12-1999,AGARTALA,Potato,8
28-12-1999,AGARTALA,Potato,9
29-12-1999,AGARTALA,Potato,9
30-12-1999,AGARTALA,Potato,9
31-12-1999,AGARTALA,Potato,9
3/1/2000,AGARTALA,Potato,9
4/1/2000,AGARTALA,Potato,8
5/1/2000,AGARTALA,Potato,8
6/1/2000,AGARTALA,Potato,8
7/1/2000,AGARTALA,Potato,8
10/1/2000,AGARTALA,Potato,8
11/1/2000,AGARTALA,Potato,7
12/1/2000,AGARTALA,Potato,7
13-01-2000,AGARTALA,Potato,7
14-01-2000,AGARTALA,Potato,7
17-01-2000,AGARTALA,Potato,7
18-01-2000,AGARTALA,Potato,7
19-01-2000,AGARTALA,Potato,7
20-01-2000,AGARTALA,Potato,7
21-01-2000,AGARTALA,Potato,7
24-01-2000,AGARTALA,Potato,7
25-01-2000,AGARTALA,Potato,7
27-01-2000,AGARTALA,Potato,5.5
28-01-2000,AGARTALA,Potato,5.5
31-01-2000,AGARTALA,Potato,6
1/2/2000,AGARTALA,Potato,5
2/2/2000,AGARTALA,Potato,6
3/2/2000,AGARTALA,Potato,6
4/2/2000,AGARTALA,Potato,5
7/2/2000,AGARTALA,Potato,5
8/2/2000,AGARTALA,Potato,5
9/2/2000,AGARTALA,Potato,5
10/2/2000,AGARTALA,Potato,5
11/2/2000,AGARTALA,Potato,5
14-02-2000,AGARTALA,Potato,5
15-02-2000,AGARTALA,Potato,5
16-02-2000,AGARTALA,Potato,5
17-02-2000,AGARTALA,Potato,5
18-02-2000,AGARTALA,Potato,5
21-02-2000,AGARTALA,Potato,5
22-02-2000,AGARTALA,Potato,4
23-02-2000,AGARTALA,Potato,4
24-02-2000,AGARTALA,Potato,4
25-02-2000,AGARTALA,Potato,4
28-02-2000,AGARTALA,Potato,4
29-02-2000,AGARTALA,Potato,4
1/3/2000,AGARTALA,Potato,4
2/3/2000,AGARTALA,Potato,4
3/3/2000,AGARTALA,Potato,5
6/3/2000,AGARTALA,Potato,5
7/3/2000,AGARTALA,Potato,5
8/3/2000,AGARTALA,Potato,5
9/3/2000,AGARTALA,Potato,5
10/3/2000,AGARTALA,Potato,5
13-03-2000,AGARTALA,Potato,5
14-03-2000,AGARTALA,Potato,5
15-03-2000,AGARTALA,Potato,5
16-03-2000,AGARTALA,Potato,5
21-03-2000,AGARTALA,Potato,5
22-03-2000,AGARTALA,Potato,5
23-03-2000,AGARTALA,Potato,5
24-03-2000,AGARTALA,Potato,5
27-03-2000,AGARTALA,Potato,5
28-03-2000,AGARTALA,Potato,5
29-03-2000,AGARTALA,Potato,5
30-03-2000,AGARTALA,Potato,5
31-03-2000,AGARTALA,Potato,5
3/4/2000,AGARTALA,Potato,5
4/4/2000,AGARTALA,Potato,5
5/4/2000,AGARTALA,Potato,5
6/4/2000,AGARTALA,Potato,5
7/4/2000,AGARTALA,Potato,5
10/4/2000,AGARTALA,Potato,5
11/4/2000,AGARTALA,Potato,5
13-04-2000,AGARTALA,Potato,5
17-04-2000,AGARTALA,Potato,5
18-04-2000,AGARTALA,Potato,5
19-04-2000,AGARTALA,Potato,5
20-04-2000,AGARTALA,Potato,5
24-04-2000,AGARTALA,Potato,5
25-04-2000,AGARTALA,Potato,6
26-04-2000,AGARTALA,Potato,6
27-04-2000,AGARTALA,Potato,6
28-04-2000,AGARTALA,Potato,6
1/5/2000,AGARTALA,Potato,6
